item,itemLabel
http://www.wikidata.org/entity/Q129114,The Ball
http://www.wikidata.org/entity/Q129277,Hitman: Absolution
http://www.wikidata.org/entity/Q129401,Digimon Story Lost Evolution
http://www.wikidata.org/entity/Q130530,Call of Duty Online
http://www.wikidata.org/entity/Q130578,Divinity II
http://www.wikidata.org/entity/Q130641,Baby Boomer
http://www.wikidata.org/entity/Q130678,Basic Math
http://www.wikidata.org/entity/Q130887,Killing Floor
http://www.wikidata.org/entity/Q131007,World of Warcraft
http://www.wikidata.org/entity/Q133427,State of Decay
http://www.wikidata.org/entity/Q133441,Tales of Hearts
http://www.wikidata.org/entity/Q133992,X2: Wolverine's Revenge
http://www.wikidata.org/entity/Q134138,The Lion King
http://www.wikidata.org/entity/Q134208,X-Men Legends II: Rise of Apocalypse
http://www.wikidata.org/entity/Q136569,ZZT
http://www.wikidata.org/entity/Q136597,Z
http://www.wikidata.org/entity/Q137802,Halo 3
http://www.wikidata.org/entity/Q137924,FIFA 12
http://www.wikidata.org/entity/Q137977,FIFA 13
http://www.wikidata.org/entity/Q138130,Gungrave
http://www.wikidata.org/entity/Q141610,Lionheart
http://www.wikidata.org/entity/Q142908,Tux Racer
http://www.wikidata.org/entity/Q142972,Perfect World
http://www.wikidata.org/entity/Q144559,Zak McKracken and the Alien Mindbenders
http://www.wikidata.org/entity/Q144728,Bad Piggies
http://www.wikidata.org/entity/Q146124,Excitebike
http://www.wikidata.org/entity/Q147074,ZanZarah: The Hidden Portal
http://www.wikidata.org/entity/Q147789,Dizzy – The Ultimate Cartoon Adventure
http://www.wikidata.org/entity/Q148474,Zauberschloß
http://www.wikidata.org/entity/Q149106,Grand Theft Auto III
http://www.wikidata.org/entity/Q149612,Tron
http://www.wikidata.org/entity/Q149998,Paper Mario
http://www.wikidata.org/entity/Q150146,Fire Emblem: Shadow Dragon and the Blade of Light
http://www.wikidata.org/entity/Q150169,Fire Emblem: The Sacred Stones
http://www.wikidata.org/entity/Q150180,Fire Emblem
http://www.wikidata.org/entity/Q150294,Mortal Kombat
http://www.wikidata.org/entity/Q151512,Sonic the Hedgehog: Triple Trouble
http://www.wikidata.org/entity/Q151531,Sonic Chaos
http://www.wikidata.org/entity/Q151614,Sonic Colors
http://www.wikidata.org/entity/Q153423,The Incredible Hulk: Ultimate Destruction
http://www.wikidata.org/entity/Q153547,The Incredible Hulk
http://www.wikidata.org/entity/Q153602,The Incredible Hulk: The Pantheon Saga
http://www.wikidata.org/entity/Q154090,The Temple of Elemental Evil
http://www.wikidata.org/entity/Q160083,.kkrieger
http://www.wikidata.org/entity/Q161188,James Bond 007: Nightfire
http://www.wikidata.org/entity/Q161192,007 Legends
http://www.wikidata.org/entity/Q161202,James Bond 007: Everything or Nothing
http://www.wikidata.org/entity/Q161234,0 A.D.
http://www.wikidata.org/entity/Q162028,FreeCol
http://www.wikidata.org/entity/Q162098,Netrek
http://www.wikidata.org/entity/Q162233,Bastard‼
http://www.wikidata.org/entity/Q162562,Soul Blazer
http://www.wikidata.org/entity/Q162707,Sonic & Sega All-Stars Racing
http://www.wikidata.org/entity/Q162751,Metro 2033
http://www.wikidata.org/entity/Q163336,Commando Libya
http://www.wikidata.org/entity/Q163628,Counter-Strike
http://www.wikidata.org/entity/Q164067,Herzog Zwei
http://www.wikidata.org/entity/Q164478,Circus
http://www.wikidata.org/entity/Q165929,StarCraft
http://www.wikidata.org/entity/Q166226,Beyond: Two Souls
http://www.wikidata.org/entity/Q166394,Dragonica
http://www.wikidata.org/entity/Q166634,Tales of Pirates
http://www.wikidata.org/entity/Q167003,Hatsuyuki Sakura
http://www.wikidata.org/entity/Q167330,Pirates of the Caribbean
http://www.wikidata.org/entity/Q167359,Pirates of the Caribbean: Dead Man's Chest
http://www.wikidata.org/entity/Q168615,1080° Snowboarding
http://www.wikidata.org/entity/Q169405,Photo Kano
http://www.wikidata.org/entity/Q170003,Ratchet & Clank
http://www.wikidata.org/entity/Q170410,New Super Mario Bros. Wii
http://www.wikidata.org/entity/Q170489,Super Mario Galaxy
http://www.wikidata.org/entity/Q172113,Fever Pitch Soccer
http://www.wikidata.org/entity/Q173626,Pac-Man
http://www.wikidata.org/entity/Q174481,Doki Doki Majo Shinpan!
http://www.wikidata.org/entity/Q174489,Panzer Elite
http://www.wikidata.org/entity/Q176336,Far Cry 2
http://www.wikidata.org/entity/Q177432,Tayutama: Kiss on my Deity
http://www.wikidata.org/entity/Q177459,King's Quest II
http://www.wikidata.org/entity/Q177491,Breakout
http://www.wikidata.org/entity/Q179247,The Secret of Monkey Island
http://www.wikidata.org/entity/Q179649,Galaxy Trucker
http://www.wikidata.org/entity/Q180181,GoldenEye: Rogue Agent
http://www.wikidata.org/entity/Q180434,Heroes of Newerth
http://www.wikidata.org/entity/Q182251,Air-Sea Battle
http://www.wikidata.org/entity/Q182261,PokerTH
http://www.wikidata.org/entity/Q182409,Amnesia
http://www.wikidata.org/entity/Q182507,Da Capo III
http://www.wikidata.org/entity/Q182771,The Sims 2
http://www.wikidata.org/entity/Q182884,Champions of Regnum
http://www.wikidata.org/entity/Q183590,TOCA Race Driver 2
http://www.wikidata.org/entity/Q184816,The Sims
http://www.wikidata.org/entity/Q185482,The Sims 3
http://www.wikidata.org/entity/Q187116,Time Zone
http://www.wikidata.org/entity/Q187339,Zelda II: The Adventure of Link
http://www.wikidata.org/entity/Q187351,Split/Second
http://www.wikidata.org/entity/Q187732,RuneScape
http://www.wikidata.org/entity/Q187894,Robin Hood: The Legend of Sherwood
http://www.wikidata.org/entity/Q189784,Doom
http://www.wikidata.org/entity/Q191404,Zeppelin: Giants of the Sky
http://www.wikidata.org/entity/Q191965,Zero Wing
http://www.wikidata.org/entity/Q193581,Half-Life 2
http://www.wikidata.org/entity/Q194673,Fight for Life
http://www.wikidata.org/entity/Q195158,Lionheart: Legacy of the Crusader
http://www.wikidata.org/entity/Q195280,Toy Story 3
http://www.wikidata.org/entity/Q195300,Conquiztador
http://www.wikidata.org/entity/Q195739,Twinity
http://www.wikidata.org/entity/Q195764,Project X Zone
http://www.wikidata.org/entity/Q196255,Street Fighter II Turbo
http://www.wikidata.org/entity/Q198081,The King of Fighters '94
http://www.wikidata.org/entity/Q198092,The King of Fighters 2002
http://www.wikidata.org/entity/Q198096,The King of Fighters '98
http://www.wikidata.org/entity/Q200864,Assassin's Creed
http://www.wikidata.org/entity/Q201390,SimTown
http://www.wikidata.org/entity/Q201792,Torchlight
http://www.wikidata.org/entity/Q202810,1869
http://www.wikidata.org/entity/Q202934,Hattrick
http://www.wikidata.org/entity/Q204105,Dig Dug
http://www.wikidata.org/entity/Q204350,Modern Combat 2: Black Pegasus
http://www.wikidata.org/entity/Q205508,Ballblazer
http://www.wikidata.org/entity/Q206653,Battlefield 2
http://www.wikidata.org/entity/Q207786,Tamagotchi
http://www.wikidata.org/entity/Q207797,Call of Duty: World at War
http://www.wikidata.org/entity/Q207885,Warcraft: Orcs & Humans
http://www.wikidata.org/entity/Q207948,Warcraft III: Reign of Chaos
http://www.wikidata.org/entity/Q207986,Call of Duty: Black Ops
http://www.wikidata.org/entity/Q209045,Insane
http://www.wikidata.org/entity/Q210271,The Karate Kid
http://www.wikidata.org/entity/Q210275,Destiny
http://www.wikidata.org/entity/Q210298,Call of Duty 2
http://www.wikidata.org/entity/Q210552,Darwinia
http://www.wikidata.org/entity/Q210844,Spore
http://www.wikidata.org/entity/Q211007,Last Bullet
http://www.wikidata.org/entity/Q211096,Call of Duty
http://www.wikidata.org/entity/Q264678,X-Moto
http://www.wikidata.org/entity/Q264736,"Crouching Tiger, Hidden Dragon"
http://www.wikidata.org/entity/Q265386,Binary Pot
http://www.wikidata.org/entity/Q265666,Jim Power in Mutant Planet
http://www.wikidata.org/entity/Q265889,The House of the Dead: Overkill
http://www.wikidata.org/entity/Q266079,Alpha Protocol
http://www.wikidata.org/entity/Q267368,U.N. Squadron
http://www.wikidata.org/entity/Q267475,ISS Pro Evolution
http://www.wikidata.org/entity/Q268256,Still Life
http://www.wikidata.org/entity/Q268616,Metin2
